Entités administratives,Nombre d'habitants,Revenu total net imposable,Revenu moyen par déclaration,Revenu médian par déclaration,Revenu moyen par habitant,Indice de richesse,Impôt d'Etat,Taxes communales et d'agglomération,Impôt total,Code INS
Pelt,34.100,735.814.160,37.588,31.075,21.578,99,137.904.682,9.044.809,146.949.491,72043
Arrondissement de Tongres,209.025,4.574.754.210,36.909,29.200,21.886,101,881.920.089,73.304.804,955.224.893,73000
Alken,11.839,288.145.724,41.017,31.462,24.339,112,65.079.740,4.539.957,69.619.697,73001
Bilzen,32.644,735.582.048,37.997,30.098,22.533,103,152.172.501,12.362.998,164.535.499,73006
Looz,11.455,257.478.264,36.914,29.600,22.477,103,54.096.537,4.600.758,58.697.295,73009
Heers,7.554,166.928.398,37.286,29.922,22.098,101,34.327.956,2.564.454,36.892.410,73022
Herstappe,77,1.921.379,46.863,42.022,24.953,115,426.858,21.098,447.957,73028
Hoeselt,9.921,229.627.730,38.528,30.249,23.146,106,49.028.335,4.208.077,53.236.412,73032
Kortessem,8.726,205.209.429,39.947,31.471,23.517,108,45.235.540,3.838.522,49.074.062,73040
Lanaken,26.270,586.033.761,37.765,29.187,22.308,102,92.135.594,8.075.266,100.210.860,73042
Riemst,16.850,372.935.547,37.996,30.331,22.133,102,69.061.589,6.306.657,75.368.246,73066
Tongres,31.915,702.887.514,36.159,28.396,22.024,101,143.313.704,11.470.123,154.783.827,73083
Wellen,7.473,179.021.700,39.738,31.552,23.956,110,38.438.921,2.986.993,41.425.915,73098
Maasmechelen,39.914,752.159.471,32.512,26.879,18.845,87,122.148.055,10.800.273,132.948.327,73107
Fourons,4.387,96.823.245,37.792,29.135,22.070,101,16.454.758,1.529.626,17.984.384,73109
Province de Luxembourg,293.967,6.281.522.376,37.791,28.764,21.368,98,803.111.392,61.813.671,864.925.063,80000
Arrondissement d’Arlon,65.069,1.549.903.494,45.454,33.863,23.819,109,102.925.806,7.770.019,110.695.825,81000
Arlon,31.222,774.708.350,46.116,34.009,24.813,114,58.386.112,4.253.874,62.639.986,81001
Attert,5.730,171.352.511,59.976,41.270,29.904,137,11.577.092,833.597,12.410.689,81003
Aubange,17.652,342.580.927,38.048,30.968,19.407,89,18.247.212,1.617.056,19.864.268,81004
Martelange,2.003,41.203.554,40.635,31.866,20.571,94,2.755.263,204.325,2.959.588,81013
Messancy,8.462,220.058.154,49.742,36.665,26.005,119,11.960.127,861.167,12.821.294,81015
Arrondissement de Bastogne,50.485,1.009.933.669,35.344,28.091,20.005,92,127.156.917,9.937.221,137.094.138,82000
Bastogne,16.785,339.951.478,35.515,27.917,20.253,93,38.252.385,2.920.770,41.173.155,82003
Bertogne,3.739,75.979.426,38.568,31.065,20.321,93,9.728.361,697.202,10.425.563,82005
Fauvillers,2.435,52.558.527,41.417,32.162,21.585,99,4.827.732,350.875,5.178.607,82009
Houffalize,5.292,106.148.837,34.264,27.644,20.058,92,14.773.864,1.048.929,15.822.792,82014
Vielsalm,7.942,154.651.572,32.212,26.115,19.473,89,24.447.604,2.191.713,26.639.318,82032
Vaux-sur-Sûre,6.143,125.922.948,38.568,30.640,20.499,94,15.214.173,1.100.660,16.314.832,82036
Gouvy,5.483,104.505.333,33.485,27.370,19.060,88,12.944.969,1.062.279,14.007.248,82037
Sainte-Ode,2.666,50.215.548,33.975,26.611,18.836,87,6.967.829,564.793,7.532.622,82038
Arrondissement de Marche-en-Famenne,57.580,1.171.566.138,33.661,26.560,20.347,93,220.242.471,17.368.275,237.610.747,83000
Durbuy,11.507,230.553.142,32.422,25.299,20.036,92,42.738.083,3.426.406,46.164.489,83012
Erezée,3.334,69.904.932,34.217,27.254,20.967,96,13.089.270,1.045.291,14.134.560,83013
Hotton,5.722,110.966.733,32.016,25.555,19.393,89,20.750.279,1.764.216,22.514.495,83028
La Roche-en-Ardenne,4.161,84.436.688,32.179,25.479,20.292,93,14.037.796,1.129.174,15.166.970,83031
Marche-en-Famenne,17.897,365.974.658,33.662,26.666,20.449,94,71.774.929,5.740.676,77.515.605,83034
Nassogne,5.695,117.017.799,35.406,28.072,20.547,94,22.381.244,1.786.040,24.167.284,83040
Rendeux,2.679,53.788.668,33.872,27.306,20.078,92,9.974.914,769.788,10.744.702,83044
Tenneville,2.882,61.190.432,37.380,30.197,21.232,98,10.424.171,725.039,11.149.210,83049
Manhay,3.703,77.733.087,36.004,27.877,20.992,96,15.071.785,981.645,16.053.431,83055
Arrondissement de Neufchâteau,65.655,1.336.383.330,35.318,27.265,20.355,93,216.206.748,16.606.746,232.813.494,84000
Bertrix,8.994,175.621.105,32.777,25.882,19.526,90,28.861.506,2.336.155,31.197.661,84009
Bouillon,5.400,104.196.367,30.494,23.865,19.296,89,17.337.465,1.404.981,18.742.446,84010
Daverdisse,1.415,26.383.918,32.453,26.152,18.646,86,4.576.280,276.533,4.852.812,84016
Herbeumont,1.728,34.453.030,34.488,27.034,19.938,92,5.680.648,401.567,6.082.215,84029
Léglise,5.746,125.305.675,43.224,32.701,21.807,100,13.158.639,878.072,14.036.710,84033
Libin,5.381,113.156.425,36.859,29.037,21.029,97,20.384.918,1.494.016,21.878.934,84035
Neufchâteau,8.186,167.668.638,37.409,28.409,20.482,94,23.014.549,1.734.872,24.749.421,84043
Paliseul,5.515,108.578.390,33.605,26.189,19.688,90,18.609.629,1.503.007,20.112.637,84050
Saint-Hubert,5.741,112.702.993,34.235,27.382,19.631,90,19.720.660,1.585.743,21.306.404,84059
Tellin,2.523,53.123.060,35.749,27.339,21.056,97,10.221.738,814.291,11.036.030,84068
Wellin,3.186,65.496.028,33.743,25.952,20.557,94,12.157.004,964.182,13.121.186,84075
Libramont-Chevigny,11.840,249.697.701,36.447,27.969,21.089,97,42.483.713,3.213.327,45.697.039,84077
Arrondissement de Virton,55.178,1.213.735.745,39.279,29.751,21.997,101,136.579.450,10.131.410,146.710.860,85000
Chiny,5.274,107.567.363,35.583,28.380,20.396,94,14.905.061,1.218.285,16.123.347,85007
Etalle,6.063,152.494.767,45.794,34.230,25.152,116,14.478.138,888.355,15.366.492,85009
Florenville,5.838,114.198.115,32.287,25.602,19.561,90,17.023.149,1.387.955,18.411.105,85011
Meix-devant-Virton,2.818,58.494.414,37.690,29.861,20.757,95,8.524.108,692.126,9.216.234,85024
Musson,4.675,102.592.557,40.988,32.037,21.945,101,7.996.982,588.381,8.585.363,85026
Saint-Léger,3.742,89.322.104,45.995,34.041,23.870,110,7.211.226,527.860,7.739.086,85034
Tintigny,4.512,100.123.841,40.552,30.846,22.191,102,11.745.339,718.360,12.463.699,85039
Virton,11.416,236.407.255,35.652,27.556,20.708,95,30.479.445,2.363.962,32.843.407,85045
Habay,8.699,209.361.687,45.102,33.107,24.067,111,18.453.718,1.391.322,19.845.041,85046
Rouvroy,2.141,43.173.643,33.968,26.860,20.165,93,5.762.282,354.804,6.117.086,85047
Province de Namur,502.261,10.708.229.056,35.967,27.355,21.320,98,2.284.916.322,184.300.806,2.469.217.128,90000
Arrondissement de Dinant,112.990,2.294.794.486,33.911,26.464,20.310,93,449.050.345,36.287.398,485.337.744,91000
Anhée,7.199,151.486.969,35.469,28.120,21.043,97,31.049.816,2.620.098,33.669.914,91005
Beauraing,9.460,179.732.583,32.245,26.278,18.999,87,32.721.444,2.674.201,35.395.645,91013
Bièvre,3.471,64.314.462,31.604,25.688,18.529,85,10.940.673,662.096,11.602.769,91015
Ciney,17.103,357.371.492,34.208,26.680,20.895,96,72.037.979,5.756.653,77.794.632,91030
Dinant,13.296,256.305.517,30.917,23.867,19.277,89,47.780.878,4.227.421,52.008.299,91034
Gedinne,4.686,89.780.262,32.755,26.199,19.159,88,16.257.938,1.059.799,17.317.737,91054
Hamois,7.528,164.049.439,39.799,31.255,21.792,100,36.531.862,2.897.224,39.429.086,91059
Havelange,5.314,110.537.350,35.600,27.478,20.801,96,22.392.314,1.956.078,24.348.391,91064
Houyet,5.116,102.319.693,33.460,26.559,20.000,92,19.466.553,1.561.821,21.028.373,91072
Onhaye,3.277,68.413.507,35.174,27.766,20.877,96,13.802.120,1.094.584,14.896.704,91103
Rochefort,12.615,251.549.192,32.960,26.284,19.940,92,48.318.653,4.137.989,52.456.642,91114
Somme-Leuze,6.019,126.573.198,36.133,27.965,21.029,97,24.265.955,1.914.437,26.180.392,91120
Yvoir,9.233,212.007.725,39.037,29.519,22.962,105,48.165.113,3.827.297,51.992.410,91141
Hastière,6.168,112.724.741,28.778,22.693,18.276,84,17.645.013,1.433.233,19.078.246,91142
Vresse-sur-Semois,2.505,47.628.357,29.749,23.980,19.013,87,7.674.034,464.467,8.138.501,91143
Arrondissement de Namur,322.523,7.070.879.778,37.235,27.887,21.924,101,1.574.908.405,126.975.843,1.701.884.248,92000
Andenne,28.114,575.051.656,34.043,26.493,20.454,94,116.696.554,10.010.218,126.706.772,92003
Assesse,7.321,173.211.822,41.859,32.002,23.660,109,41.532.498,3.519.120,45.051.618,92006
Eghezée,16.705,398.777.815,41.792,31.171,23.872,110,94.495.248,7.028.360,101.523.608,92035
Floreffe,8.115,188.550.134,40.151,30.945,23.235,107,43.908.278,3.616.356,47.524.634,92045
Fosses-la-Ville,10.453,223.456.724,36.293,27.915,21.377,98,47.931.995,4.063.972,51.995.967,92048
