,id,Locality,Type of property,Subtype of property,Type of sale,Fully equipped kitchen,Fireplace,Terrace,Garden,Garden area,Surface of the land,Surface area of the plot of land,Swimming pool,State of the building,Compound Listing,Price,Number of rooms,Living Area,Furnished,Terrace area,Number of facades
9695,20302940,9520,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,276.0,0,AS_NEW,single,389500.0,3.0,148.0,0.0,11.417550404188413,3.0
9696,20143343,4630,HOUSE,HOUSE,residential_sale,1,0,0,0,0.0,0.0,32.0,0,TO_BE_DONE_UP,single,145000.0,1.0,95.0,0.0,0.0,2.0
9697,20293515,8430,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,91.0,0,GOOD,single,229000.0,2.0,77.0,0.0,3.7372463722633387,3.0
9698,20302811,2800,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,108.0,0,UNKNOWN,single,298000.0,3.0,115.0,0.0,3.56544178560655,3.0
9699,20244572,1370,HOUSE,HOUSE,residential_sale,1,0,1,1,813.0,813.0,955.0,0,TO_RENOVATE,single,249000.0,2.0,104.0,0.0,11.0,4.0
9700,20311537,3945,HOUSE,COUNTRY_COTTAGE,residential_sale,0,0,0,0,0.0,0.0,1736.0,0,AS_NEW,single,399000.0,4.0,225.0,0.0,0.0,4.0
9701,20245396,9620,HOUSE,BUNGALOW,residential_sale,1,0,1,1,390.0,390.0,1228.0,0,TO_RENOVATE,single,349000.0,4.0,237.0,0.0,16.0,4.0
9702,20181218,2140,HOUSE,APARTMENT_BLOCK,residential_sale,1,0,0,1,12.0,12.0,125.0,0,TO_BE_DONE_UP,single,499900.0,4.0,225.0,0.0,0.0,2.0
9703,20290756,9820,HOUSE,HOUSE,residential_sale,0,0,0,0,0.0,0.0,807.0,0,TO_RENOVATE,single,395000.0,3.0,132.0,0.0,0.0,3.0
9704,20184359,6200,HOUSE,VILLA,residential_sale,1,0,1,1,800.0,800.0,1289.0,1,TO_RENOVATE,single,280000.0,3.0,195.0,0.0,22.407248585052525,4.0
9705,20269178,1340,HOUSE,HOUSE,residential_sale,1,0,1,1,1900.0,1900.0,2026.0,0,AS_NEW,single,795000.0,5.0,300.0,0.0,40.0,4.0
9706,20233780,4430,HOUSE,TOWN_HOUSE,residential_sale,1,0,1,0,0.0,0.0,120.0,0,TO_RENOVATE,single,199000.0,3.0,115.0,0.0,17.0,2.0
9707,20281407,9500,HOUSE,HOUSE,residential_sale,1,0,1,1,150.0,150.0,275.0,0,AS_NEW,single,365000.0,3.0,176.0,0.0,51.0,3.0
9708,20285257,9971,HOUSE,HOUSE,residential_sale,1,0,0,0,0.0,0.0,1099.0,0,GOOD,single,549000.0,3.0,220.0,0.0,0.0,4.0
9709,20310632,8730,HOUSE,HOUSE,residential_sale,0,0,0,0,0.0,0.0,499.0,0,UNKNOWN,single,299000.0,2.0,144.0,0.0,0.0,2.0
9710,11405259,4460,HOUSE,HOUSE,residential_sale,1,0,1,1,100.0,100.0,403.0,0,GOOD,single,260000.0,3.0,90.0,0.0,44.0,3.0
9711,20280159,9700,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,250.0,0,GOOD,single,397500.0,4.0,152.0,0.0,25.700525391838507,2.0
9712,20319481,7190,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,363.0,0,GOOD,single,329000.0,4.0,171.0,0.0,14.335905882626564,2.0
9713,20300229,2580,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,727.0,0,UNKNOWN,single,445000.0,2.0,265.0,0.0,29.327079258742973,4.0
9714,20280785,8770,HOUSE,VILLA,residential_sale,1,0,0,0,0.0,0.0,967.0,0,TO_BE_DONE_UP,single,385000.0,3.0,270.0,0.0,0.0,3.0
9715,20317237,1650,HOUSE,VILLA,residential_sale,1,1,1,1,840.0,840.0,0.0,0,TO_BE_DONE_UP,single,490000.0,4.0,150.0,0.0,4.097946464142653,4.0
9716,20309072,9800,HOUSE,VILLA,residential_sale,1,0,1,0,0.0,0.0,587.0,0,AS_NEW,single,549500.0,3.0,181.0,0.0,26.150038153334936,4.0
9717,20309489,8020,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,634.0,0,AS_NEW,single,560000.0,4.0,283.0,0.0,25.250167253237777,4.0
9718,20257841,6700,HOUSE,VILLA,residential_sale,1,1,1,1,1564.0,1564.0,1690.0,0,AS_NEW,single,560000.0,3.0,119.0,0.0,15.96385967450504,4.0
9719,20266138,8820,HOUSE,HOUSE,residential_sale,1,0,1,1,85.0,85.0,200.0,0,TO_RENOVATE,single,229000.0,3.0,192.0,0.0,15.0,2.0
9720,11437883,6740,HOUSE,HOUSE,residential_sale,1,0,1,1,600.0,600.0,800.0,0,GOOD,single,499000.0,4.0,150.0,0.0,30.0,3.0
9721,20213141,1654,HOUSE,HOUSE,residential_sale,1,1,1,1,440.0,440.0,679.0,0,GOOD,single,465000.0,4.0,210.0,0.0,30.0,3.0
9722,20309460,8340,HOUSE,HOUSE,residential_sale,0,0,0,0,0.0,0.0,11487.0,0,UNKNOWN,single,880000.0,5.0,321.0,0.0,0.0,4.0
9723,20318375,9690,HOUSE,HOUSE,residential_sale,1,0,1,0,0.0,0.0,1190.0,0,JUST_RENOVATED,single,349000.0,4.0,177.0,0.0,16.57940354782082,4.0
9724,20283752,6700,HOUSE,HOUSE,residential_sale,1,0,1,1,250.0,250.0,460.0,0,TO_RENOVATE,single,330000.0,2.0,155.62367918777682,0.0,14.113197635169366,3.0
9725,20290259,4420,HOUSE,HOUSE,residential_sale,1,0,1,1,760.0,760.0,1706.0,0,GOOD,single,420000.0,3.0,165.0,0.0,60.0,4.0
9726,20315347,8930,HOUSE,HOUSE,residential_sale,0,0,1,0,0.0,0.0,170.0,0,GOOD,single,220000.0,5.0,171.0,0.0,6.787161844786726,3.0
9727,20257484,1480,HOUSE,MANSION,residential_sale,1,1,1,0,0.0,0.0,992.0,0,GOOD,single,899000.0,6.0,500.0,0.0,0.16026421796022733,3.0
9728,20276597,8000,HOUSE,HOUSE,residential_sale,1,0,1,1,24.0,24.0,145.0,0,TO_BE_DONE_UP,single,384000.0,3.0,174.0,0.0,10.852833377629558,3.0
9729,20284546,9400,HOUSE,HOUSE,residential_sale,0,1,0,0,0.0,0.0,650.0,0,GOOD,single,599000.0,6.0,537.0,0.0,0.0,4.0
